Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
lifeessence,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30694,生命本质单元,gregtech:gt.metaitem.01
lifeessence,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketLife@0,生命之桶,AWWayofTime:bucketLife
light naquadah fuel,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10025,轻质硅岩燃料胶囊,bartworks:gt.bwMetaGeneratedcapsule
light naquadah fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10025,轻质硅岩燃料单元,bartworks:gt.bwMetaGeneratedcell
lightlyhydrocracked.butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10646,轻度加氢裂化丁二烯单元,gregtech:gt.metaitem.99
lightlyhydrocracked.butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10644,轻度加氢裂化丁烷单元,gregtech:gt.metaitem.99
lightlyhydrocracked.butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10645,轻度加氢裂化丁烯单元,gregtech:gt.metaitem.99
lightlyhydrocracked.ethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10642,轻度加氢裂化乙烷单元,gregtech:gt.metaitem.99
lightlyhydrocracked.ethylene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10677,轻度加氢裂化乙烯单元,gregtech:gt.metaitem.99
lightlyhydrocracked.gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10735,轻度加氢裂化炼油气单元,gregtech:gt.metaitem.99
lightlyhydrocracked.heavyfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10741,轻度加氢裂化重燃油单元,gregtech:gt.metaitem.99
lightlyhydrocracked.lightfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10740,轻度加氢裂化轻燃油单元,gregtech:gt.metaitem.99
lightlyhydrocracked.naphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10739,轻度加氢裂化石脑油单元,gregtech:gt.metaitem.99
lightlyhydrocracked.propane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10643,轻度加氢裂化丙烷单元,gregtech:gt.metaitem.99
lightlyhydrocracked.propene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10678,轻度加氢裂化丙烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13646,轻度蒸汽裂化丁二烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13644,轻度蒸汽裂化丁烷单元,gregtech:gt.metaitem.99
lightlysteamcracked.butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13645,轻度蒸汽裂化丁烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.ethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13642,轻度蒸汽裂化乙烷单元,gregtech:gt.metaitem.99
lightlysteamcracked.ethylene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13677,轻度蒸汽裂化乙烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13735,轻度蒸汽裂化炼油气单元,gregtech:gt.metaitem.99
lightlysteamcracked.heavyfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13741,轻度蒸汽裂化重燃油单元,gregtech:gt.metaitem.99
lightlysteamcracked.lightfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13740,轻度蒸汽裂化轻燃油单元,gregtech:gt.metaitem.99
lightlysteamcracked.naphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13739,轻度蒸汽裂化石脑油单元,gregtech:gt.metaitem.99
lightlysteamcracked.propane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13643,轻度蒸汽裂化丙烷单元,gregtech:gt.metaitem.99
lightlysteamcracked.propene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13678,轻度蒸汽裂化丙烯单元,gregtech:gt.metaitem.99
liquid helium,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11500,液氦胶囊,bartworks:gt.bwMetaGeneratedcapsule
liquid helium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11500,液氦单元,bartworks:gt.bwMetaGeneratedcell
liquid_drillingfluid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@5,钻井液单元,gregtech:gt.metaitem.98
liquid_epichlorhydrin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30648,环氧氯丙烷单元,gregtech:gt.metaitem.01
liquid_heavy_fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30741,重燃油单元,gregtech:gt.metaitem.01
liquid_heavy_oil,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@419,重油胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
liquid_heavy_oil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30730,重油单元,gregtech:gt.metaitem.01
liquid_hydricsulfur,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30460,硫化氢单元,gregtech:gt.metaitem.01
liquid_hydricsulfur,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@418,硫化氢胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
liquid_light_fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30740,轻燃油单元,gregtech:gt.metaitem.01
liquid_light_oil,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@421,轻油胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
liquid_light_oil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30732,轻油单元,gregtech:gt.metaitem.01
liquid_lpg,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30742,液化石油气单元,gregtech:gt.metaitem.01
liquid_medium_oil,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@420,原油胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
liquid_medium_oil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30731,原油单元,gregtech:gt.metaitem.01
liquid_naphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30739,石脑油单元,gregtech:gt.metaitem.01
liquid_nitrationmixture,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30628,硝酸混酸单元,gregtech:gt.metaitem.01
liquid_sufluriclight_fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30737,含硫轻燃油单元,gregtech:gt.metaitem.01
liquid_sulfuricheavy_fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30738,含硫重燃油单元,gregtech:gt.metaitem.01
liquid_sulfuricnaphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30736,含硫石脑油单元,gregtech:gt.metaitem.01
liquid_sunshine,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketLiquid_sunshine@0,桶装液态阳光,EnderIO:bucketLiquid_sunshine
liquid_toluene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30647,甲苯单元,gregtech:gt.metaitem.01
liquidair,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30495,液态空气单元,gregtech:gt.metaitem.01
liquiddna,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@15,液态DNA虚空胶囊,MagicBees:capsule.void
liquiddna,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@16,液态DNA单元,gregtech:gt.metaitem.98
liquiddna,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.gendustry.liquiddna.can@0,液态基因罐,gendustry:LiquidDNACan
liquiddna,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.gendustry.liquiddna.bucket@0,液态基因桶,gendustry:LiquidDNABucket
liquiddna,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@15,液态DNA魔力胶囊,MagicBees:capsule.magic
liquidmethane,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.MethaneBucket@0,液态甲烷桶,GalaxySpace:item.MethaneBucket
liquidnitrogen,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30494,液氮单元,gregtech:gt.metaitem.01
liquidnitrogen,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.containerRefractory@66,液氮耐火胶囊,BinnieCore:containerRefractory
liquidnitrogen,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@14,液氮虚空胶囊,MagicBees:capsule.void
liquidnitrogen,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@66,液氮玻璃罐,BinnieCore:containerCylinder
liquidnitrogen,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.containerBucket@66,液氮桶,BinnieCore:containerBucket
liquidnitrogen,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.containerGlass@66,液氮瓶,BinnieCore:containerGlass
liquidnitrogen,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@14,液氮魔力胶囊,MagicBees:capsule.magic
liquidnitrogen,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.containerCapsule@66,液氮胶囊,BinnieCore:containerCapsule
liquidnitrogen,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.containerCan@66,液氮胶囊,BinnieCore:containerCan
liquidnitrogen,1000,1xitem.oilCanisterPartial@1001,空罐,GalacticraftCore:item.oilCanisterPartial,1xitem.canisterPartialLN2@1,灌装液态氮(满),GalacticraftMars:item.canisterPartialLN2
liquidoxygen,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30493,液氧单元,gregtech:gt.metaitem.01
liquidoxygen,1000,1xitem.oilCanisterPartial@1001,空罐,GalacticraftCore:item.oilCanisterPartial,1xitem.canisterPartialLOX@1,罐装液态氧(满),GalacticraftMars:item.canisterPartialLOX
liquidresin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.liquidresin@0,液态树脂单元,miscutils:liquidresin
lithiumhydroxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@20,氢氧化锂单元,IC2:itemCellEmpty
lmp-103s,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@29913,LMP-103S胶囊,bartworks:gt.bwMetaGeneratedcapsule
lmp-103s,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@29913,LMP-103S单元,bartworks:gt.bwMetaGeneratedcell
low quality naquadah emulsion,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10056,低纯硅岩乳液胶囊,bartworks:gt.bwMetaGeneratedcapsule
low quality naquadah emulsion,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10056,低纯硅岩乳液单元,bartworks:gt.bwMetaGeneratedcell
low quality naquadah solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10058,低纯硅岩溶液胶囊,bartworks:gt.bwMetaGeneratedcapsule
low quality naquadah solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10058,低纯硅岩溶液单元,bartworks:gt.bwMetaGeneratedcell
low quality naquadria sulphate,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10077,低纯硫酸超能硅岩胶囊,bartworks:gt.bwMetaGeneratedcapsule
low quality naquadria sulphate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10077,低纯硫酸超能硅岩单元,bartworks:gt.bwMetaGeneratedcell
lubricant,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30724,润滑油单元,gregtech:gt.metaitem.01
lumium.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@27,桶装熔融流明,TConstruct:buckets
manyullyn.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@9,桶装熔融玛玉灵,TConstruct:buckets
manyullyn.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@9,粘土桶(熔融玛玉灵),IguanaTweaksTConstruct:clayBucketsTinkers
mcguffium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30999,麦高芬239单元,gregtech:gt.metaitem.01
mcguffium,250,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xgt.metaitem.01@32765,麦高芬239,gregtech:gt.metaitem.01
mead,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryMead@0,蜂蜜陈酿胶囊,Forestry:refractoryMead
mead,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.for.beverage@2,蜂蜜陈酿,Forestry:beverage
mead,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canMead@0,蜂蜜陈酿罐,Forestry:canMead
mead,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.for.bucketMead@0,蜂蜜陈酿桶,Forestry:bucketMead
mead,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleMead@0,蜂蜜陈酿胶囊,Forestry:waxCapsuleMead
melonjuice,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.adventurebackpack:melonJuiceBottle@0,西瓜汁,adventurebackpack:melonJuiceBottle
mercury,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30087,汞单元,gregtech:gt.metaitem.01
methane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30715,甲烷单元,gregtech:gt.metaitem.01
methane,1000,1xitem.oilCanisterPartial@1001,空罐,GalacticraftCore:item.oilCanisterPartial,1xitem.methaneCanisterPartial@1,甲烷气体罐(满),GalacticraftMars:item.methaneCanisterPartial
methanol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30673,甲醇单元,gregtech:gt.metaitem.01
methylacetate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30681,乙酸甲酯单元,gregtech:gt.metaitem.01
milk,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.milk@0,牛奶,minecraft:milk_bucket
milk,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@11,牛奶虚空胶囊,MagicBees:capsule.void
milk,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30885,牛奶单元,gregtech:gt.metaitem.01
milk,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket.Milk@0,粘土桶(牛奶),IguanaTweaksTConstruct:clayBucketMilk
milk,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@11,牛奶魔力胶囊,MagicBees:capsule.magic
milk,250,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xgt.metaitem.02@32136,牛奶,gregtech:gt.metaitem.02
mithril.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@29,桶装熔融蕴魔金属,TConstruct:buckets
mobessence,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.mobessence@0,怪物精华液单元,miscutils:mobessence
moderatelyhydrocracked.butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11646,中度加氢裂化丁二烯单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11644,中度加氢裂化丁烷单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11645,中度加氢裂化丁烯单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.ethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11642,中度加氢裂化乙烷单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.ethylene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11677,中度加氢裂化乙烯单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11735,中度加氢裂化炼油气单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.heavyfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11741,中度加氢裂化重燃油单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.lightfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11740,中度加氢裂化轻燃油单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.naphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11739,中度加氢裂化石脑油单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.propane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11643,中度加氢裂化丙烷单元,gregtech:gt.metaitem.99
moderatelyhydrocracked.propene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@11678,中度加氢裂化丙烯单元,gregtech:gt.metaitem.99
moderatelysteamcracked.butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14646,中度蒸汽裂化丁二烯单元,gregtech:gt.metaitem.99
moderatelysteamcracked.butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14644,中度蒸汽裂化丁烷单元,gregtech:gt.metaitem.99
moderatelysteamcracked.butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14645,中度蒸汽裂化丁烯单元,gregtech:gt.metaitem.99
moderatelysteamcracked.ethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14642,中度蒸汽裂化乙烷单元,gregtech:gt.metaitem.99
moderatelysteamcracked.ethylene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14677,中度蒸汽裂化乙烯单元,gregtech:gt.metaitem.99
moderatelysteamcracked.gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14735,中度蒸汽裂化炼油气单元,gregtech:gt.metaitem.99
moderatelysteamcracked.heavyfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14741,中度蒸汽裂化重燃油单元,gregtech:gt.metaitem.99
moderatelysteamcracked.lightfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14740,中度蒸汽裂化轻燃油单元,gregtech:gt.metaitem.99
moderatelysteamcracked.naphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14739,中度蒸汽裂化石脑油单元,gregtech:gt.metaitem.99
moderatelysteamcracked.propane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14643,中度蒸汽裂化丙烷单元,gregtech:gt.metaitem.99
moderatelysteamcracked.propene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@14678,中度蒸汽裂化丙烯单元,gregtech:gt.metaitem.99
molten.abyssalalloy,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellAbyssalAlloy@0,深渊合金单元,miscutils:itemCellAbyssalAlloy
molten.aceticanhydride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellAceticAnhydride@0,乙酸酐单元,miscutils:itemCellAceticAnhydride
molten.actinium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellActinium@0,锕单元,miscutils:itemCellActinium
molten.adamantium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@121,熔融精金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.adamantium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@319,熔融精金单元,gregtech:gt.metaitem.99
molten.adamantium alloy,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedcapsuleMolten@10085,熔融精金合金胶囊,bartworks:gt.bwMetaGeneratedcapsuleMolten
molten.adamantium alloy,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcellMolten@10085,熔融精金合金单元,bartworks:gt.bwMetaGeneratedcellMolten
molten.ademic steel,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcellMolten@96,熔融硬钢单元,bartworks:gt.bwMetaGeneratedcellMolten
molten.ademic steel,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedcapsuleMolten@96,熔融硬钢胶囊,bartworks:gt.bwMetaGeneratedcapsuleMolten
molten.advancednitinol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellAdvancedNitinol@0,高级镍钛诺单元,miscutils:itemCellAdvancedNitinol
molten.alduorite,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@125,熔融神秘蓝金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.alduorite,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@485,熔融神秘蓝金单元,gregtech:gt.metaitem.99
molten.aluminium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@1,熔融铝胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.aluminium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@19,熔融铝单元,gregtech:gt.metaitem.99
molten.alumite,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@563,熔融耐酸铝胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.alumite,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@400,熔融耐酸铝单元,gregtech:gt.metaitem.99
molten.americium,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@2,熔融镅胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.americium,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@103,熔融镅单元,gregtech:gt.metaitem.99
molten.americium241,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellAmericium241@0,镅-241单元,miscutils:itemCellAmericium241
molten.ammonium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellAmmonium@0,铵单元,miscutils:itemCellAmmonium
molten.ammoniumbifluoride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellAmmoniumBifluoride@0,氟化氢铵单元,miscutils:itemCellAmmoniumBifluoride
molten.ammoniumtetrafluoroberyllate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellAmmoniumTetrafluoroberyllate@0,氟铍酸铵单元,miscutils:itemCellAmmoniumTetrafluoroberyllate
molten.angmallen,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@130,熔融神圣之金胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
molten.angmallen,144,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@958,熔融神圣之金单元,gregtech:gt.metaitem.99
molten.annealedcopper,144,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xgt.bwMetaGeneratedGTEnhancementcapsuleMolten@338,熔融退火铜胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsuleMolten
